code,name,industry,前天收盘,昨日开盘,昨日最高,昨日收盘,昨日涨幅
601868.SH,中国能建,建筑工程,3.14,3.15,3.45,3.45,9.8726
000988.SZ,华工科技,专用机械,123.51,122.99,135.69,134.88,9.2057
002638.SZ,勤上股份,家用电器,3.77,3.76,4.14,4.09,8.4881
002452.SZ,长高电新,电气设备,11.9,11.86,13.09,12.88,8.2353
600389.SH,江山股份,农药化肥,28.68,28.75,31.5,31.02,8.159
002709.SZ,天赐材料,化工原料,45.15,45.55,49.23,48.79,8.062
000967.SZ,盈峰环境,环境保护,8.8,8.82,9.68,9.49,7.8409
002145.SZ,钛能化学,化工原料,5.23,5.22,5.7,5.64,7.8394
000703.SZ,恒逸石化,化纤,11.9,11.74,12.99,12.83,7.8151
001258.SZ,立新能源,新型电力,9.38,9.43,10.32,10.09,7.5693
